DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,T80,SO*T80,Mass,HAcceptors,HDonors,LogP,Asphericity,Rg,TPSA,RingCount,NumRotatableBonds,NumHeteroatoms,HOMOm1(eV),HOMO(eV),LUMO(eV),LUMOp1(eV),PrimeState,PrimeExcite(eV),PrimeExcite(osc),DipoleMoment(Debye),SurfaceCharge,ChargeCorrection,FreeEnergy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,TDOS1.5,TDOS1.6,TDOS1.7,TDOS1.8,TDOS1.9,TDOS2.0,TDOS2.1,TDOS2.2,TDOS2.3,TDOS2.4,TDOS2.5,TDOS2.6,TDOS2.7,TDOS2.8,TDOS2.9,TDOS3.0,TDOS3.1,TDOS3.2,TDOS3.3,TDOS3.4,TDOS3.5,TDOS3.6,TDOS3.7,TDOS3.8,TDOS3.9,TDOS4.0,TDOS4.1,TDOS4.2,TDOS4.3,TDOS4.4,TDOS4.5,TDOS4.6,TDOS4.7,SDOS2.5,SDOS2.6,SDOS2.7,SDOS2.8,SDOS2.9,SDOS3.0,SDOS3.1,SDOS3.2,SDOS3.3,SDOS3.4,SDOS3.5,SDOS3.6,SDOS3.7,SDOS3.8,SDOS3.9,SDOS4.0,SDOS4.1,SDOS4.2,SDOS4.3,SDOS4.4,SDOS4.5,SDOS4.6,SDOS4.7,SDOS4.8,SDOS4.9,SDOS5.0,SDOS5.1,SDOS5.2,SDOS5.3,SDOS5.4
DB_06_A_002,r4-6,316,0.771660457,1.8,103.86,186.95,410.692,2,0,9.607,0.301360538,5.187320785,0,3,13,2,-8.8374,-7.8893,0.3472,1.4773,1,4.604815568,0.98788618,0.57258,-0.03811377,0.00245,0.18479,3.135243434,3.67396133,4.292212396,4.432520562,4.475070498,4.48609232,4.755835606,4.813945032,5.640073364,5.913449264,6.030659956,6.114730794,6.245628878,6.26787089,6.451262106,6.49004305,6.554413466,6.597794068,6.77854451,6.95769561,4.604815568,5.008457254,5.535707,5.777368816,5.806280952,6.180700552,6.321331066,6.460634994,6.465953736,6.654304152,6.656870538,6.819904238,6.920166864,6.951335436,7.05979314,7.263256718,7.330664644,7.40706112,7.430418952,7.571409008,0.98788618,0.000843274,0.015067809,0.017846764,0.1042932,0.0562222,0.072319067,0.059375332,0.051552871,0.021097233,0.022423675,0.028070407,0.003624638,0.038192494,0.010176381,0.602064323,0.016986895,0.065429006,0.015649128,0.118869603,6.07E-15,3.20E-13,1.31E-11,4.18E-10,1.04E-08,2.01E-07,3.03E-06,3.56E-05,0.000325582,0.002318614,0.012859489,0.055545647,0.186861875,0.489651273,0.999873633,1.593854396,1.996451645,2.013180063,1.768059124,1.611227255,1.745397034,2.002522078,2.04419487,1.765658454,1.463188841,1.631723029,2.629855139,4.422731237,6.485324278,8.017557036,8.47870447,7.95054673,6.865206516,1.75E-24,2.99E-22,3.96E-20,4.09E-18,3.29E-16,2.06E-14,1.00E-12,3.81E-11,1.13E-09,2.60E-08,4.66E-07,6.51E-06,7.08E-05,0.000600175,0.003961032,0.02035942,0.081498375,0.254073397,0.616874362,1.166441871,1.717760656,1.970186237,1.760071472,1.224982513,0.664732762,0.282352686,0.096763416,0.034589011,0.030793167,0.057339814
DB_01_A_002,r4-5,300,0.398158367,0.33,101.13,33.37,334.594,2,0,7.94,0.367472374,4.141424852,0,2,12,2,-9.087,-8.2034,0.8586,1.8912,1,5.074786554,0.386291755,1.68691,-0.03947586,0.00243,0.17622,3.385683034,3.898513906,4.43866997,4.616184534,5.703687502,5.850008698,6.11171808,6.188610476,6.315764364,6.339196584,6.467255526,6.607166956,6.695862248,6.890114112,7.120617728,7.12444871,7.201142738,7.294276514,7.600110378,7.752692564,5.074786554,5.814575214,5.920305358,6.014306994,6.291501478,6.587478932,6.659052586,6.80234867,6.891911822,7.142401014,7.317014446,7.322655536,7.652938256,7.782385774,7.858025972,8.006801972,8.008971622,8.124260624,8.24547587,8.323198932,0.386291755,0.075832998,0.018199986,0.09035645,0.013351275,0.007065736,0.034100903,0.001253982,0.032698718,0.042854075,0.009285445,0.013903489,0.003854023,0.00397793,0.175448026,0.046715201,0.256224781,0.023161078,0.121841512,0.007268341,9.92E-20,9.76E-18,7.48E-16,4.47E-14,2.08E-12,7.52E-11,2.12E-09,4.66E-08,7.96E-07,1.06E-05,0.000110011,0.000888726,0.005591486,0.027397929,0.104556577,0.310793294,0.71983914,1.300788587,1.842463758,2.078892197,1.968110598,1.778527735,1.801241895,2.012835253,2.124073105,1.968890473,1.751188418,1.848447266,2.406232661,3.155961918,3.609763932,3.433183113,2.677125436,7.89E-37,4.35E-34,1.87E-31,6.24E-29,1.62E-26,3.29E-24,5.20E-22,6.40E-20,6.13E-18,4.57E-16,2.65E-14,1.20E-12,4.23E-11,1.16E-09,2.48E-08,4.13E-07,5.35E-06,5.40E-05,0.00042461,0.002599661,0.012395674,0.046030947,0.13312393,0.299839702,0.525958103,0.71854907,0.764710761,0.634853898,0.414866354,0.225909485
DB_06_A_049,r3-4,321,0.701333333,1.23,78.3,96.31,398.553,4,0,4.0182,0.79958949,5.36802448,40.62,4,4,6,-8.2055,-8.0072,0.073,1.2317,1,4.591710882,1.277359355,8.93223,-0.03245776,-0.00467,0.17171,3.175326168,3.780856886,4.331315688,4.494994084,4.526621382,4.553525042,4.610283086,4.707483406,4.782627684,4.848126318,4.909682388,4.941322084,5.68305723,5.749163366,6.122839086,6.203252514,6.454634362,6.607972826,6.629297386,6.692229634,4.591710882,4.634409594,5.073063232,5.185128754,5.42834032,5.658224036,5.81255434,6.131951616,6.407137624,6.434165264,6.598314784,6.63733129,6.680017604,6.724600812,6.932998794,7.01714402,7.038877714,7.054536388,7.081787192,7.08799859,1.277359355,0.080091115,4.67E-05,0.00240545,0.018579193,0.051532398,0.058435223,0.047888691,0.087769537,0.007265778,0.03756647,0.050212174,0.025192397,0.101719359,0.052116635,0.025640577,0.390453977,0.496919526,0.376533528,0.119460059,1.16E-15,6.73E-14,3.05E-12,1.08E-10,2.95E-09,6.32E-08,1.05E-06,1.37E-05,0.000138181,0.001087761,0.006668781,0.031840971,0.118400773,0.342892789,0.773446627,1.359310288,1.864208232,2.008984422,1.753305515,1.386783514,1.278625522,1.537276702,1.917179794,2.069065519,1.920736453,1.823534974,2.326937102,3.813788237,6.257147114,9.167411341,11.76752185,13.37755563,13.69921136,4.54E-24,7.49E-22,9.61E-20,9.61E-18,7.49E-16,4.54E-14,2.15E-12,7.90E-11,2.26E-09,5.06E-08,8.80E-07,1.19E-05,0.000125818,0.001034539,0.006626775,0.033068987,0.12856339,0.389410236,0.918985126,1.68981818,2.421162358,2.703266636,2.352275584,1.595867464,0.845839293,0.354619858,0.12787823,0.060600458,0.064782334,0.098908203
DB_08_A_096,Bot7-1,336,0.241094549,7.1,71.88,510.35,372.47,4,0,5.919,0.79382461,4.948902733,34.14,5,2,4,-9.4901,-7.8554,-1.2507,-0.1538,2,3.60062716,0.897844853,0.88895,-0.02908699,-0.00124,0.16604,2.532341092,3.0492881,3.193452044,3.274658944,3.392377954,3.595221632,3.732331114,3.816860678,4.153739134,4.180865958,4.362967782,4.446951834,4.57678369,4.91128173,4.945636588,5.057503742,5.512721108,5.688599136,5.704245412,5.74659698,3.54471218,3.60062716,3.799106742,4.27253677,4.428243252,4.53729606,5.02534333,5.155361156,5.317303832,5.559932692,5.585212214,5.840685402,5.858712094,5.96604158,5.979084276,5.986039554,6.066886912,6.108147456,6.234693842,6.317351308,0.000156216,0.897844853,1.47E-05,0.429227094,0.18854753,0.04113216,0.049683429,0.144917725,0.089300013,0.102638667,0.074785949,0.000229286,0.287015904,0.182022265,0.006671081,0.087946936,3.51E-05,0.048011871,0.066061989,0.021935207,3.27E-06,3.81E-05,0.000345888,0.002445413,0.013464736,0.057740209,0.192848658,0.501761384,1.017737566,1.613686704,2.020804318,2.075713176,1.970094385,2.164960102,3.004217659,4.408822605,5.91276552,6.977305692,7.347864206,7.201648891,6.938209568,6.77174155,6.572326618,6.179941788,5.783546157,5.79609992,6.349942848,7.10270783,7.562311017,7.449946721,6.815841256,6.03448054,5.628872587,4.76E-07,6.57E-06,7.08E-05,0.000593606,0.003876614,0.019716824,0.078100018,0.24093241,0.578857256,1.083162136,1.578830631,1.794322906,1.597963679,1.145162407,0.747330176,0.622493249,0.774802169,1.037694425,1.19907753,1.137605318,0.886320229,0.579058825,0.34514835,0.246563906,0.276258684,0.381997167,0.49530407,0.566934869,0.594202926,0.614075196
DB_13_A_071,Top7-6,361.9909973,0.657644972,4.82,68.37,329.54,457.62,5,0,8.5485,0.671147989,5.994750506,31.23,5,3,5,-8.3237,-7.5965,-0.0253,0.8398,1,4.098555636,1.693640746,4.12438,-0.03788661,-0.0031,0.19943,2.750421912,3.39072902,3.712754672,4.250133584,4.32138489,4.376940328,4.463441174,4.494374184,4.53463049,4.610369872,4.748396806,4.809568538,5.055668838,5.466984886,5.619988604,5.720114852,5.884251974,6.07049473,6.074102548,6.120545456,4.098555636,4.927882652,4.985025034,5.06625673,5.411392254,5.708138384,5.841590456,5.854422386,5.921061636,6.103919738,6.295258072,6.305027696,6.331373446,6.391094612,6.455378242,6.46648685,6.506519992,6.620879144,6.731605682,6.898978682,1.693640746,0.145242116,0.051095243,0.063897357,0.047352107,0.011810445,0.00801241,0.11816581,0.004376425,0.166753542,0.240031063,0.163030334,0.000751164,0.347223334,0.012587936,0.111654517,0.25716549,0.007408139,0.006321139,0.088791058,6.48E-09,1.30E-07,2.04E-06,2.49E-05,0.000236463,0.001749083,0.010075901,0.045204744,0.157947124,0.429805374,0.910936761,1.504108433,1.937448818,1.959854054,1.606889654,1.214999271,1.144717941,1.499924711,2.082576849,2.590401826,2.855082058,2.870141915,2.664497129,2.331600257,2.207380673,2.836512006,4.607640896,7.357967976,10.31012823,12.45044694,13.10440274,12.27260533,10.48625028,4.53E-14,2.18E-12,8.14E-11,2.37E-09,5.37E-08,9.49E-07,1.31E-05,0.000139821,0.001166487,0.007579032,0.038350767,0.151133512,0.463846058,1.108698235,2.063855637,2.992074548,3.37829831,2.970979482,2.036729372,1.095742309,0.487723098,0.245763568,0.249018872,0.36322164,0.474953231,0.505358498,0.440670879,0.330128836,0.234648706,0.183111483
DB_13_A_100,r2-2s11,367,0.964,6.1,51.7,315.37,572.754,3,0,11.2794,0.579469503,5.999278768,9.23,9,3,3,-8.2681,-7.5803,-0.143,0.5859,1,3.999247656,1.968966722,1.15919,-0.03958586,-0.00039,0.22428,2.659581766,3.317605616,3.6784866,4.03468114,4.185527606,4.214439742,4.293328216,4.312619504,4.35114009,4.406484762,4.476471472,4.489476974,4.515202824,4.544040572,4.657953396,4.680443368,4.739990962,4.809382568,4.860487124,4.876294574,3.999247656,4.754608204,4.941619636,5.034530248,5.138115538,5.232191562,5.3106833,5.31241902,5.352303386,5.571400842,5.626547146,5.782042862,5.819608802,5.868295748,5.89431915,6.022378092,6.10173769,6.160863752,6.216010056,6.326848176,1.968966722,0.185141162,0.02974237,0.003018575,0.05265868,0.000154196,0.013440026,0.003251614,0.02103947,0.147234089,0.007258785,0.009149391,0.100851172,0.01466451,0.017844639,0.09532883,0.177141809,0.175097262,0.012144105,0.07173683,1.00E-07,1.60E-06,2.00E-05,0.000194416,0.001471377,0.008672468,0.039809604,0.14231807,0.396243377,0.85922717,1.451348582,1.911326593,1.971354763,1.629168511,1.195018833,1.040189786,1.310639129,1.844192961,2.334186776,2.60567099,2.722411543,2.827333807,3.032747185,3.565826957,4.850778689,7.243257513,10.65747238,14.46454525,17.74825566,19.74769816,20.19228244,19.26688579,17.25397629,2.47E-12,9.23E-11,2.69E-09,6.12E-08,1.08E-06,1.49E-05,0.000160043,0.001337502,0.008705217,0.044125667,0.174192461,0.535542345,1.282285518,2.391126681,3.472565354,3.927792816,3.461238158,2.38116363,1.296154348,0.605907944,0.341194858,0.334334051,0.404439104,0.437977,0.40670478,0.343640893,0.292732471,0.277376453,0.303195686,0.365520463
DB_08_A_018,r2-3s3,355,0.625754885,3.65,48,175.2,425.575,5,0,5.7645,0.692029196,5.358737992,46.61,4,4,6,-8.7213,-7.5843,0.1185,1.3115,1,4.15382592,1.280843228,5.25885,-0.03262271,-0.00318,0.18202,2.740999432,3.56926022,4.186271486,4.217502048,4.351846776,4.475653204,4.63877369,4.872066856,5.068029644,5.221864028,5.341231972,5.49826504,5.557242326,5.765404746,5.939125522,6.12293827,6.282351754,6.282488132,6.337473262,6.345680738,4.15382592,4.913897708,5.230331862,5.598106134,5.618699212,5.7805675,5.870180244,5.878462108,5.935616888,6.1983801,6.272247384,6.428685348,6.711520922,6.729225266,6.737854274,6.835463728,6.882774496,6.96265481,7.157563768,7.19362955,1.280843228,0.009779431,0.034188953,0.021862563,0.001914607,0.086487052,0.006468397,0.00526707,0.017266142,0.04661414,0.002759301,0.155664281,0.039088253,0.027307871,0.003593113,0.358090832,0.148865362,0.022120113,0.345980485,0.0746452,8.70E-09,1.71E-07,2.61E-06,3.11E-05,0.000288591,0.002084966,0.011731192,0.05140574,0.175431463,0.466261746,0.965114613,1.555814285,1.953393679,1.910999077,1.461626283,0.897144462,0.525504739,0.506082064,0.846224251,1.404421076,1.889085536,2.017468652,1.795906828,1.61126293,1.979402631,3.14789425,4.853714667,6.444721475,7.326500331,7.346600809,6.774601589,6.018519132,5.41087796,3.62E-15,2.00E-13,8.58E-12,2.87E-10,7.47E-09,1.51E-07,2.39E-06,2.94E-05,0.000281687,0.002101401,0.012208948,0.055242574,0.194668619,0.534249804,1.141876642,1.900730226,2.464045844,2.487755519,1.956236859,1.198543577,0.573623055,0.21833651,0.074411786,0.037166417,0.039435002,0.053866192,0.070479241,0.083546821,0.092866885,0.108029683
DB_11_A_002,r3-2,394.3,0.458,7.2,46.7,336.24,580.975,5,0,13.1255,0.265030939,6.364665502,0,5,15,5,-8.3084,-7.4681,-0.2243,0.6184,1,3.79614362,1.694529622,0.84704,-0.04443431,0.00304,0.23478,2.553665652,3.015553142,3.515862034,3.77853846,4.172373328,4.324397604,4.388867204,4.442600136,4.473371972,4.47474815,4.993058938,5.203093456,5.3255609,5.49578544,5.555779362,5.754320934,5.837486718,5.875697354,5.966748266,5.970740422,3.79614362,4.653080982,5.184186506,5.281076876,5.402750848,5.496541718,5.637147436,5.641982656,5.76624781,5.789965184,5.81212041,5.934823416,6.054699678,6.176088496,6.214199948,6.415357498,6.42817703,6.492299486,6.547619362,6.632421682,1.694529622,0.202273978,0.046481615,0.056211034,0.008103711,0.00262298,0.02021498,0.018696525,0.12492984,0.065140259,0.181883181,0.009523308,0.008974763,0.048838166,0.012333337,0.018824122,0.005897568,0.075393895,0.005941854,0.002361912,1.87E-06,2.30E-05,0.000220677,0.00164562,0.009557312,0.04323067,0.152317449,0.418188272,0.895724298,1.502377545,1.996122789,2.172322165,2.101305095,2.053515089,2.150995348,2.226715765,2.108357679,1.91807425,1.955601565,2.335131362,2.858496036,3.230295485,3.30542164,3.179085511,3.189055997,3.812263669,5.364300648,7.635851678,9.765657265,10.60890092,9.56071982,7.166338728,4.759249742,2.56E-09,5.78E-08,1.01E-06,1.39E-05,0.000147673,0.001224584,0.007908678,0.039778225,0.155816449,0.475343527,1.129349212,2.08965872,3.011267831,3.379514468,2.954092979,2.012558898,1.074689226,0.471063428,0.226428909,0.216663111,0.308259133,0.392211788,0.399283775,0.329140265,0.241204551,0.195216995,0.202376189,0.233241426,0.26470722,0.314958211
DB_13_A_044,Top7-5,376.683,0.520366003,5.45,44.96,245.03,374.494,6,0,5.55672,0.7614733,5.110442961,43.08,5,3,6,-8.7868,-7.6818,-0.3399,0.4599,1,3.988734152,1.592068746,8.95801,-0.03022194,-0.00266,0.17027,2.647320144,3.157659018,3.702464332,4.272821924,4.303110238,4.43736818,4.458915904,4.50394544,4.728882354,4.780272064,4.82554956,4.891308552,5.311067638,5.39517567,5.540195076,5.72731809,5.765789084,5.778137492,5.794564842,5.865332626,3.988734152,4.861925292,5.006845514,5.290834102,5.398919866,5.599817058,5.7334551,5.857459896,5.88669438,6.027610048,6.067283648,6.28132272,6.30841235,6.327926802,6.511826336,6.629309784,6.685137978,6.693097494,6.763394154,6.796992734,1.592068746,0.097313543,0.007208876,0.027293952,0.030646232,0.0086901,0.050030027,0.023575739,0.068052511,0.010084564,0.0053964,0.015776401,0.031934479,0.00976394,0.020158452,0.052349425,0.006706469,0.029098666,0.172944828,0.079894424,1.43E-07,2.21E-06,2.68E-05,0.000252552,0.001853665,0.010595957,0.047171914,0.163561875,0.441784561,0.930112942,1.529709715,1.980547199,2.07219911,1.893701737,1.768554197,1.887514463,2.088840828,2.07930518,1.821521022,1.594904933,1.657952969,1.9339277,2.103537755,2.014137988,1.955053578,2.492659987,4.003790295,6.29155707,8.610278725,10.16925974,10.73109073,10.65265492,10.26138851,2.95E-12,1.08E-10,3.06E-09,6.77E-08,1.17E-06,1.57E-05,0.000163684,0.00133245,0.008447367,0.041707883,0.160376718,0.480275989,1.120125827,2.034553671,2.878048375,3.170701459,2.720547253,1.818599652,0.949744807,0.397014194,0.159367766,0.114065171,0.150824025,0.197677249,0.214037965,0.194934099,0.164542509,0.147707077,0.149024323,0.161364537
DB_13_A_009,Top7-3,357.9961853,0.262375449,2.42,32.17,77.85,522.735,3,0,10.57742,0.718781967,6.970584117,0,6,6,4,-8.0563,-7.6057,-0.0308,0.7277,1,4.08129762,1.690352665,1.70108,-0.03721266,0.0032,0.2158,2.710797904,3.278564314,3.497636974,3.972579558,4.293415002,4.338407344,4.347036352,4.377684208,4.45912667,4.463912298,4.615316674,4.646175296,4.731535526,4.823466696,4.83931134,4.85722645,4.989860254,5.199807986,5.435605548,5.721391846,4.08129762,4.959212398,5.0187104,5.171986874,5.175594692,5.251036522,5.540269464,5.721850572,5.86512186,5.885119834,6.038904626,6.04421097,6.066192624,6.126434506,6.270375286,6.394169316,6.436458894,6.49549817,6.559707412,6.628491516,1.690352665,0.85807906,0.027607049,0.04153529,0.015294671,0.004021237,0.083032032,0.036179374,0.064702619,0.069004186,0.010275288,0.065843408,0.027826926,0.00613478,0.006953163,0.025383666,0.030103379,0.122542182,0.007965067,0.014101585,2.19E-08,4.00E-07,5.67E-06,6.26E-05,0.000538396,0.003606849,0.018818336,0.076465225,0.241983736,0.59647046,1.145626125,1.717344717,2.022895804,1.924322497,1.630642883,1.547648438,1.915850588,2.60702759,3.240451946,3.468105492,3.199875419,2.660358113,2.256854305,2.321564301,2.978257194,4.308992773,6.490330544,9.463556603,12.524146,14.67031244,15.48804077,15.36400414,14.75242283,8.98E-14,4.13E-12,1.48E-10,4.13E-09,8.96E-08,1.52E-06,2.00E-05,0.000204871,0.001637003,0.010186988,0.04937061,0.186344918,0.547763384,1.25399223,2.235750245,3.104416881,3.357225414,2.828545863,1.861965675,0.982101715,0.501777956,0.465954091,0.789773084,1.303113941,1.732565243,1.817388673,1.514203896,1.028087734,0.614495564,0.39170171
