FeatID,FeatA,FeatB,FeatC,FeatD,R2,Creg
1287675,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS3.9,0.86,1000
1287729,NumRotatableBonds,NumHeteroatoms,TDOS2.6,TDOS3.9,0.85,1000
27679,Mass,NumHeteroatoms,TDOS2.0,TDOS2.5,0.83,100
27733,Mass,NumHeteroatoms,TDOS2.1,TDOS2.5,0.83,100
1390651,HOMOm1(eV),T4,S3,S4,0.83,1000
1287676,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS4.0,0.83,100
27787,Mass,NumHeteroatoms,TDOS2.2,TDOS2.5,0.83,100
27463,Mass,NumHeteroatoms,TDOS1.6,TDOS2.5,0.83,100
27409,Mass,NumHeteroatoms,TDOS1.5,TDOS2.5,0.83,100
27517,Mass,NumHeteroatoms,TDOS1.7,TDOS2.5,0.82,100
27571,Mass,NumHeteroatoms,TDOS1.8,TDOS2.5,0.82,100
814149,Rg,NumHeteroatoms,HOMOm1(eV),TDOS3.9,0.82,100
27625,Mass,NumHeteroatoms,TDOS1.9,TDOS2.5,0.82,100
27732,Mass,NumHeteroatoms,TDOS2.1,TDOS2.4,0.81,100
1447516,NumHeteroatoms,HOMOm1(eV),TDOS1.5,TDOS4.0,0.81,1000
817443,Rg,HOMOm1(eV),DipoleMoment(Debye),TDOS3.9,0.81,100
27570,Mass,NumHeteroatoms,TDOS1.8,TDOS2.4,0.81,100
27624,Mass,NumHeteroatoms,TDOS1.9,TDOS2.4,0.81,100
27516,Mass,NumHeteroatoms,TDOS1.7,TDOS2.4,0.81,100
27678,Mass,NumHeteroatoms,TDOS2.0,TDOS2.4,0.81,100
4137,Mass,HAcceptors,TDOS1.6,TDOS2.7,0.8,100
196552,HAcceptors,LUMOp1(eV),TDOS1.5,TDOS4.0,0.8,1000
4457,Mass,HAcceptors,TDOS2.2,TDOS2.3,0.8,100
4192,Mass,HAcceptors,TDOS1.7,TDOS2.8,0.8,100
4084,Mass,HAcceptors,TDOS1.5,TDOS2.8,0.8,100
27788,Mass,NumHeteroatoms,TDOS2.2,TDOS2.6,0.8,100
27789,Mass,NumHeteroatoms,TDOS2.2,TDOS2.7,0.8,100
4138,Mass,HAcceptors,TDOS1.6,TDOS2.8,0.8,100
27786,Mass,NumHeteroatoms,TDOS2.2,TDOS2.4,0.8,100
4296,Mass,HAcceptors,TDOS1.9,TDOS2.4,0.8,100
1447570,NumHeteroatoms,HOMOm1(eV),TDOS1.6,TDOS4.0,0.8,1000
27841,Mass,NumHeteroatoms,TDOS2.3,TDOS2.5,0.8,100
196606,HAcceptors,LUMOp1(eV),TDOS1.6,TDOS4.0,0.8,1000
4083,Mass,HAcceptors,TDOS1.5,TDOS2.7,0.8,100
27462,Mass,NumHeteroatoms,TDOS1.6,TDOS2.4,0.8,100
4404,Mass,HAcceptors,TDOS2.1,TDOS2.4,0.8,100
4350,Mass,HAcceptors,TDOS2.0,TDOS2.4,0.8,100
1476988,NumHeteroatoms,FreeEnergy,TDOS2.1,TDOS2.8,0.79,100
4185,Mass,HAcceptors,TDOS1.7,TDOS2.1,0.79,100
4186,Mass,HAcceptors,TDOS1.7,TDOS2.2,0.79,100
4188,Mass,HAcceptors,TDOS1.7,TDOS2.4,0.79,100
4191,Mass,HAcceptors,TDOS1.7,TDOS2.7,0.79,100
27411,Mass,NumHeteroatoms,TDOS1.5,TDOS2.7,0.79,100
4514,Mass,HAcceptors,TDOS2.3,TDOS2.6,0.79,100
2399725,T10,TDOS2.2,TDOS2.3,TDOS4.0,0.79,100
4238,Mass,HAcceptors,TDOS1.8,TDOS2.0,0.79,100
4239,Mass,HAcceptors,TDOS1.8,TDOS2.1,0.79,100
4240,Mass,HAcceptors,TDOS1.8,TDOS2.2,0.79,100
4242,Mass,HAcceptors,TDOS1.8,TDOS2.4,0.79,100
4245,Mass,HAcceptors,TDOS1.8,TDOS2.7,0.79,100
4246,Mass,HAcceptors,TDOS1.8,TDOS2.8,0.79,100
27408,Mass,NumHeteroatoms,TDOS1.5,TDOS2.4,0.79,100
554970,Asphericity,NumHeteroatoms,SurfaceCharge,S9,0.79,1000
27465,Mass,NumHeteroatoms,TDOS1.6,TDOS2.7,0.79,100
27735,Mass,NumHeteroatoms,TDOS2.1,TDOS2.7,0.79,100
27573,Mass,NumHeteroatoms,TDOS1.8,TDOS2.7,0.79,100
196660,HAcceptors,LUMOp1(eV),TDOS1.7,TDOS4.0,0.79,1000
4080,Mass,HAcceptors,TDOS1.5,TDOS2.4,0.79,100
4078,Mass,HAcceptors,TDOS1.5,TDOS2.2,0.79,100
