DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,T80,SO*T80,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS3.9
DB_06_A_002,r4-6,316,0.771660457,1.8,103.86,186.95,13,2,0.012859489,1.463188841
DB_01_A_002,r4-5,300,0.398158367,0.33,101.13,33.37,12,2,0.000110011,2.124073105
DB_06_A_049,r3-4,321,0.701333333,1.23,78.3,96.31,4,6,0.006668781,1.920736453
DB_08_A_096,Bot7-1,336,0.241094549,7.1,71.88,510.35,2,4,2.020804318,5.783546157
DB_13_A_071,Top7-6,361.9909973,0.657644972,4.82,68.37,329.54,3,5,0.910936761,2.207380673
DB_13_A_100,r2-2s11,367,0.964,6.1,51.7,315.37,3,3,1.451348582,4.850778689
DB_08_A_018,r2-3s3,355,0.625754885,3.65,48,175.2,4,6,0.965114613,1.979402631
DB_11_A_002,r3-2,394.3,0.458,7.2,46.7,336.24,15,5,1.996122789,3.189055997
DB_13_A_044,Top7-5,376.683,0.520366003,5.45,44.96,245.03,3,6,1.529709715,1.955053578
DB_13_A_009,Top7-3,357.9961853,0.262375449,2.42,32.17,77.85,6,4,1.145626125,2.978257194
DB_04_A_070,Top7-2,386.66,0.67403887,8.23,31.94,262.87,5,6,1.998460365,2.573292145
DB_04_A_046,Top7-1,386,0.460809005,6.36,24.91,158.43,7,4,1.804293522,4.64467916
DB_22_A_083,r4-3,386,1.216333333,6.66,23.09,153.78,19,6,0.532287484,10.42163986
DB_10_A_091,r5-3s4,395.3,0.528948394,7.87,19.48,153.31,4,4,1.158836632,6.362506914
DB_10_A_084,r5-4s7,389.6,0.737515124,8.92,15.64,139.51,4,7,1.914025141,6.963705501
DB_20_A_027,r2-d5s1,377,0.449383777,4.55,15,68.25,17,4,1.466481665,10.75426535
DB_22_A_063,Bot7-7,319.9938049,0.666325723,3.67,10.88,39.93,17,7,0.458875004,7.680269049
DB_13_A_031,Top7-4,361.9909973,0.500814085,3.95,10.8,42.66,7,4,1.158920061,4.067765234
DB_17_A_069,r2-d8s13,390,0.263934839,6.84,10.6,72.5,16,8,1.807092343,5.897377425
DB_22_A_046,r4-1,322,1.94676,5.88,10.49,61.68,20,6,0.32022864,7.526935677
DB_10_A_007,r5-1,394,0.787249908,10.76,10.48,112.76,4,7,1.816478599,5.595134193
DB_22_A_018,Bot7-5,327.0097656,0.599688935,3.14,9.77,30.68,18,9,0.555475769,6.590132724
DB_20_A_012,r3-3s1,320,0.341333333,2.4,9.7,23.28,22,6,0.489690674,7.713463875
DB_15_A_088,r3-1,390,0.268109667,5.19,9.3,48.27,17,6,0.571199241,6.564247694
DB_22_A_007,Bot7-4,329.334,0.533879976,3.4,9.15,31.11,17,8,0.310200729,7.086075414
DB_11_A_007,r5-2,411.6,0.73906185,13.7,8.87,121.52,5,7,1.825964189,4.08433192
