DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,Predicted_T80
DB_06_A_002,r4-6,316.0,0.771660457,1.8,103.75983244064855
DB_01_A_002,r4-5,300.0,0.398158367,0.33,101.02974657361312
DB_06_A_049,r3-4,321.0,0.701333333,1.23,78.19997801048422
DB_08_A_096,Bot7-1,336.0,0.241094549,7.1,57.18057473840537
DB_13_A_071,Top7-6,361.9909973,0.657644972,4.82,61.88054853073313
DB_13_A_100,r2-2s11,367.0,0.964,6.1,48.8088279973031
DB_08_A_018,r2-3s3,355.0,0.625754885,3.65,48.09979387475544
DB_11_A_002,r3-2,394.3,0.458,7.2,28.123595101955985
DB_13_A_044,Top7-5,376.683,0.520366003,5.45,42.70516453242205
DB_13_A_009,Top7-3,357.9961853,0.262375449,2.42,42.54808868158131
DB_04_A_070,Top7-2,386.66,0.67403887,8.23,32.04042587506612
DB_04_A_046,Top7-1,386.0,0.460809005,6.36,25.010429898678016
DB_22_A_083,r4-3,386.0,1.216333333,6.66,22.990232371737434
DB_10_A_091,r5-3s4,395.3,0.528948394,7.87,19.57969295663133
DB_10_A_084,r5-4s7,389.6,0.737515124,8.92,15.74003775388077
DB_20_A_027,r2-d5s1,377.0,0.449383777,4.55,15.099975455638912
DB_22_A_063,Bot7-7,319.9938049,0.666325723,3.67,10.780216779821615
DB_13_A_031,Top7-4,361.9909973,0.500814085,3.95,23.391025486624507
DB_17_A_069,r2-d8s13,390.0,0.263934839,6.84,4.7779551039888375
DB_22_A_046,r4-1,322.0,1.94676,5.88,10.590009625947825
DB_10_A_007,r5-1,394.0,0.787249908,10.76,10.435509490222607
DB_22_A_018,Bot7-5,327.0097656,0.599688935,3.14,9.474055620570887
DB_20_A_012,r3-3s1,320.0,0.341333333,2.4,9.800041371332696
DB_15_A_088,r3-1,390.0,0.268109667,5.19,6.3369959813989425
DB_22_A_007,Bot7-4,329.334,0.533879976,3.4,10.297262381236678
DB_11_A_007,r5-2,411.6,0.73906185,13.7,8.970106153742808
DB_10_A_002,r5-5,392.3,0.964111092,12.37,8.739829515702628
DB_09_A_002,r5-6s2,389.0,0.492773667,7.89,7.960010916597621
DB_13_A_080,Top7-7,379.3262533,0.564268952,6.1,28.94507896558919
DB_15_A_066,Bot7-2,352.9898071,0.340145638,5.46,4.935016529348339
DB_12_A_022,r2-d9,359.0,0.742227398,5.55,4.899779414969167
DB_15_A_053,r1-d3,321.0,0.304980363,2.88,5.100176318138516
DB_22_A_023,Bot7-6,371.9871216,0.533175044,4.3,5.733816855416649
DB_20_A_017,r1-d10,320.0,0.10168949,2.35,3.5996831099437827
DB_19_A_021,r1-d2,421.0,0.461278059,12.25,3.099706722529966
DB_17_A_029,Bot7-3,399.9960632,0.344881609,7.48,2.520462902707237
DB_08_A_034,r3-6,401.0,0.517235667,6.08,2.4597449231049566
DB_16_A_061,r2-d10,377.0,0.182666667,4.46,2.470776891221867
DB_19_A_025,r2-4,421.0,0.596664861,14.58,1.399635453964244
DB_18_A_094,r1-d8,392.0,0.53534683,12.2,1.6004438495588502
DB_01_A_010,r1-d1,343.0,0.076641412,0.8,24.107704600012227
DB_05_A_073,r1-d9,283.0,nan,0.1,107.40856878163581
DB_05_A_089,r2-1,266.0,nan,0.1,100.60814824760398
DB_05_A_002,r4-4,280.0,nan,0.1,104.92917389999226
DB_01_A_001,nan,nan,nan,nan,17.548888706640476
DB_01_A_003,nan,nan,nan,nan,99.02062106570804
DB_01_A_004,nan,nan,nan,nan,91.57310104149931
DB_01_A_005,nan,nan,nan,nan,75.09717433077833
DB_01_A_006,nan,nan,nan,nan,63.32028401644063
DB_01_A_007,nan,nan,nan,nan,89.87406047210321
DB_01_A_008,nan,nan,nan,nan,11.377358768307271
DB_01_A_009,nan,nan,nan,nan,103.96560348177826
DB_01_A_011,nan,nan,nan,nan,94.66014496786377
DB_01_A_012,nan,nan,nan,nan,84.48925331418184
DB_01_A_013,nan,nan,nan,nan,65.46636068666065
DB_01_A_014,nan,nan,nan,nan,95.57253942282836
DB_01_A_015,nan,nan,nan,nan,89.2941980154281
DB_01_A_016,nan,nan,nan,nan,83.82716098218904
DB_01_A_017,nan,nan,nan,nan,19.9794399387513
DB_01_A_018,nan,nan,nan,nan,92.70316412706282
DB_01_A_019,nan,nan,nan,nan,50.853153961775305
DB_01_A_020,nan,nan,nan,nan,55.32675628540912
DB_01_A_021,nan,nan,nan,nan,32.560479187201864
DB_01_A_022,nan,nan,nan,nan,8.67850579867342
DB_01_A_023,nan,nan,nan,nan,77.3069337362466
DB_01_A_024,nan,nan,nan,nan,70.47660704466838
DB_01_A_025,nan,nan,nan,nan,93.35226363245332
DB_01_A_026,nan,nan,nan,nan,28.329439276758336
DB_01_A_027,nan,nan,nan,nan,0.9673469017427152
DB_01_A_028,nan,nan,nan,nan,22.654544814459044
DB_01_A_029,nan,nan,nan,nan,93.48231153819236
DB_01_A_030,nan,nan,nan,nan,105.35290642297463
DB_01_A_031,nan,nan,nan,nan,100.2265697420599
DB_01_A_032,nan,nan,nan,nan,84.6065447822952
DB_01_A_033,nan,nan,nan,nan,85.47942223965607
DB_01_A_034,nan,nan,nan,nan,13.965891650795673
DB_01_A_035,nan,nan,nan,nan,100.43673021591269
DB_01_A_036,nan,nan,nan,nan,29.81349339592042
DB_01_A_037,nan,nan,nan,nan,96.13553978991877
DB_01_A_038,nan,nan,nan,nan,66.10471306055962
DB_01_A_039,nan,nan,nan,nan,96.63635628305626
DB_01_A_040,nan,nan,nan,nan,86.43590231456568
DB_01_A_041,nan,nan,nan,nan,54.056466410792865
DB_01_A_042,nan,nan,nan,nan,28.252247306911357
DB_01_A_043,nan,nan,nan,nan,76.43717609865587
DB_01_A_044,nan,nan,nan,nan,67.3861631299554
DB_01_A_045,nan,nan,nan,nan,48.864505779412525
DB_01_A_046,nan,nan,nan,nan,95.08785062578553
DB_01_A_047,nan,nan,nan,nan,90.95045327149876
DB_01_A_048,nan,nan,nan,nan,77.67998770584197
DB_01_A_049,nan,nan,nan,nan,86.64777149590674
DB_01_A_050,nan,nan,nan,nan,88.73043370798717
DB_01_A_051,nan,nan,nan,nan,86.63186299922697
DB_01_A_052,nan,nan,nan,nan,101.29560399491274
DB_01_A_053,nan,nan,nan,nan,95.1815327470715
DB_01_A_054,nan,nan,nan,nan,81.64196467240188
DB_01_A_055,nan,nan,nan,nan,74.71089912705679
DB_01_A_056,nan,nan,nan,nan,90.5973192386283
DB_01_A_057,nan,nan,nan,nan,51.46051031977587
DB_01_A_058,nan,nan,nan,nan,24.833497494780133
DB_01_A_059,nan,nan,nan,nan,102.30095637154392
DB_01_A_060,nan,nan,nan,nan,72.941783128398
DB_01_A_061,nan,nan,nan,nan,76.16939766457935
DB_01_A_062,nan,nan,nan,nan,49.20694885749034
DB_01_A_063,nan,nan,nan,nan,93.61825660721993
DB_01_A_064,nan,nan,nan,nan,96.50376818832407
DB_01_A_065,nan,nan,nan,nan,91.69724326109764
DB_01_A_066,nan,nan,nan,nan,83.69028043771519
DB_01_A_067,nan,nan,nan,nan,92.44306109075573
DB_01_A_068,nan,nan,nan,nan,34.18448496540568
DB_01_A_069,nan,nan,nan,nan,85.16371873735082
DB_01_A_070,nan,nan,nan,nan,100.72170626430064
DB_01_A_071,nan,nan,nan,nan,92.67377062788282
DB_01_A_072,nan,nan,nan,nan,56.99750085550059
DB_01_A_073,nan,nan,nan,nan,105.19902276767087
DB_01_A_074,nan,nan,nan,nan,78.615749418048
DB_01_A_075,nan,nan,nan,nan,73.97055328733376
DB_01_A_076,nan,nan,nan,nan,104.31861048858624
DB_01_A_077,nan,nan,nan,nan,71.46434989654583
DB_01_A_078,nan,nan,nan,nan,97.65615183659541
DB_01_A_079,nan,nan,nan,nan,83.27824276780757
DB_01_A_080,nan,nan,nan,nan,80.04339525764306
DB_01_A_081,nan,nan,nan,nan,81.82531980755994
DB_01_A_082,nan,nan,nan,nan,84.78146269753948
DB_01_A_083,nan,nan,nan,nan,41.60144699807521
DB_01_A_084,nan,nan,nan,nan,79.38100162960578
DB_01_A_085,nan,nan,nan,nan,88.93199727393663
DB_01_A_086,nan,nan,nan,nan,102.64854660130209
DB_01_A_087,nan,nan,nan,nan,90.13153026360816
DB_01_A_088,nan,nan,nan,nan,79.1417503284649
DB_01_A_089,nan,nan,nan,nan,101.21963247520367
DB_01_A_090,nan,nan,nan,nan,73.6987938503709
DB_01_A_091,nan,nan,nan,nan,83.24942201444694
DB_01_A_092,nan,nan,nan,nan,92.80024043690261
DB_01_A_093,nan,nan,nan,nan,102.45699303540854
DB_01_A_094,nan,nan,nan,nan,58.092116162067654
DB_01_A_095,nan,nan,nan,nan,91.67144270776049
DB_01_A_096,nan,nan,nan,nan,65.85004267647845
DB_01_A_097,nan,nan,nan,nan,6.193131501592099
DB_01_A_098,nan,nan,nan,nan,100.219155395039
DB_01_A_099,nan,nan,nan,nan,101.5468636221463
DB_01_A_100,nan,nan,nan,nan,57.99919592621047
DB_02_A_001,nan,nan,nan,nan,24.074685585456564
DB_02_A_002,nan,nan,nan,nan,35.935891036997404
DB_02_A_003,nan,nan,nan,nan,37.14755079298042
DB_02_A_004,nan,nan,nan,nan,66.49570412495405
DB_02_A_005,nan,nan,nan,nan,8.253598921583702
DB_02_A_006,nan,nan,nan,nan,8.138946374792003
DB_02_A_007,nan,nan,nan,nan,31.077210752380783
DB_02_A_008,nan,nan,nan,nan,17.79682252931316
DB_02_A_009,nan,nan,nan,nan,39.27346581521457
DB_02_A_010,nan,nan,nan,nan,29.770965270698056
DB_02_A_011,nan,nan,nan,nan,40.763493075510965
DB_02_A_012,nan,nan,nan,nan,3.807274760390584
DB_02_A_013,nan,nan,nan,nan,26.34218730819696
DB_02_A_014,nan,nan,nan,nan,21.81430121868901
DB_02_A_015,nan,nan,nan,nan,12.813428522499404
DB_02_A_016,nan,nan,nan,nan,56.5334481027046
DB_02_A_017,nan,nan,nan,nan,20.04966605724848
DB_02_A_018,nan,nan,nan,nan,20.78813991168708
DB_02_A_019,nan,nan,nan,nan,3.350749120553992
DB_02_A_020,nan,nan,nan,nan,8.670730064784042
DB_02_A_021,nan,nan,nan,nan,2.125669110687312
DB_02_A_022,nan,nan,nan,nan,17.534695264315317
DB_02_A_023,nan,nan,nan,nan,15.186665336106454
DB_02_A_024,nan,nan,nan,nan,13.218189327028746
DB_02_A_025,nan,nan,nan,nan,21.157858328641243
DB_02_A_026,nan,nan,nan,nan,13.469067763247097
DB_02_A_027,nan,nan,nan,nan,11.697005857266205
DB_02_A_028,nan,nan,nan,nan,14.831515004498492
DB_02_A_029,nan,nan,nan,nan,68.64888223411778
DB_02_A_030,nan,nan,nan,nan,24.163351578226695
DB_02_A_031,nan,nan,nan,nan,19.530161082133702
DB_02_A_032,nan,nan,nan,nan,48.39568872370431
DB_02_A_033,nan,nan,nan,nan,8.319028809845662
DB_02_A_034,nan,nan,nan,nan,-1.305099717047817
DB_02_A_035,nan,nan,nan,nan,40.240894542834006
DB_02_A_036,nan,nan,nan,nan,18.961475155733506
DB_02_A_037,nan,nan,nan,nan,20.544992213435705
DB_02_A_038,nan,nan,nan,nan,14.522503228432779
DB_02_A_039,nan,nan,nan,nan,41.72410134746114
DB_02_A_040,nan,nan,nan,nan,59.88366062126261
DB_02_A_041,nan,nan,nan,nan,35.42650467815525
DB_02_A_042,nan,nan,nan,nan,10.027273274324056
DB_02_A_043,nan,nan,nan,nan,11.77769815899147
DB_02_A_044,nan,nan,nan,nan,40.60181676288488
DB_02_A_045,nan,nan,nan,nan,54.270218256088256
DB_02_A_046,nan,nan,nan,nan,21.947554876990694
DB_02_A_047,nan,nan,nan,nan,69.66109756578453
DB_02_A_048,nan,nan,nan,nan,46.609454475370676
DB_02_A_049,nan,nan,nan,nan,11.66326039037289
DB_02_A_050,nan,nan,nan,nan,28.002969645599713
DB_02_A_051,nan,nan,nan,nan,21.080363731816707
DB_02_A_052,nan,nan,nan,nan,26.22277946239904
DB_02_A_053,nan,nan,nan,nan,22.940887711008372
DB_02_A_054,nan,nan,nan,nan,40.771407134518554
DB_02_A_055,nan,nan,nan,nan,20.047955000317835
DB_02_A_056,nan,nan,nan,nan,42.65317116295176
DB_02_A_057,nan,nan,nan,nan,5.246894313813609
DB_02_A_058,nan,nan,nan,nan,18.328222654256027
DB_02_A_059,nan,nan,nan,nan,27.853061023883313
DB_02_A_060,nan,nan,nan,nan,20.279207257573688
DB_02_A_061,nan,nan,nan,nan,19.54323664591159
DB_02_A_062,nan,nan,nan,nan,6.933516357630928
DB_02_A_063,nan,nan,nan,nan,34.596192377269176
DB_02_A_064,nan,nan,nan,nan,53.50245183214466
DB_02_A_065,nan,nan,nan,nan,18.469369964349706
DB_02_A_066,nan,nan,nan,nan,25.126907912886526
DB_02_A_067,nan,nan,nan,nan,5.981773202407052
DB_02_A_068,nan,nan,nan,nan,11.742315686447707
DB_02_A_069,nan,nan,nan,nan,51.85480705302247
DB_02_A_070,nan,nan,nan,nan,36.89870602636782
DB_02_A_071,nan,nan,nan,nan,37.96474516820944
DB_02_A_072,nan,nan,nan,nan,24.320052071689677
DB_02_A_073,nan,nan,nan,nan,37.50037516914587
DB_02_A_074,nan,nan,nan,nan,14.755414117203099
DB_02_A_075,nan,nan,nan,nan,-1.0153333479047362
DB_02_A_076,nan,nan,nan,nan,53.955500515789446
DB_02_A_077,nan,nan,nan,nan,-0.5974082906816847
DB_02_A_078,nan,nan,nan,nan,32.93462051051949
DB_02_A_079,nan,nan,nan,nan,53.67220411218196
