DBA_Name,Predicted SO,Predicted_T80,SO*T80
DB_01_A_001,1.471474852,19.91322145,29.30180459
DB_01_A_002,0.128033896,101.0297865,12.93523718
DB_01_A_003,0.038674239,107.4354824,4.154985523
DB_01_A_004,0.236553216,102.9584652,24.35515606
DB_01_A_005,0.095492623,96.07611012,9.174559763
DB_01_A_006,0.478377248,59.09422236,28.26933147
DB_01_A_007,0.582209493,97.37212834,56.69097747
DB_01_A_008,1.124164227,4.649732004,5.227062384
DB_01_A_009,0.892685254,93.3052175,83.29219178
DB_01_A_010,0.483593846,29.36647459,14.20144639
DB_01_A_011,2.079997456,79.92349985,166.2406764
DB_01_A_012,0.230065806,83.58094061,19.22911647
DB_01_A_013,0.65931114,70.80492849,46.68247812
DB_01_A_014,0.287004216,104.5826869,30.01567206
DB_01_A_015,0.240316638,99.90278888,24.00830235
DB_01_A_016,0.009675026,103.6813544,1.0031198
DB_01_A_017,1.498327235,6.933406197,10.38851134
DB_01_A_018,0.816474915,103.3653033,84.39517723
DB_01_A_019,1.467798117,48.48961566,71.17296656
DB_01_A_020,0.590750885,70.79000303,41.81925694
DB_01_A_021,1.236049472,72.59267847,89.72814189
DB_01_A_022,2.25223622,2.790185122,6.284155992
DB_01_A_023,0.738208651,58.34230166,43.0687918
DB_01_A_024,0.088561058,74.283713,6.578644215
DB_01_A_025,0.424327745,99.90428111,42.39215832
DB_01_A_026,1.58606422,34.92157111,55.38785444
DB_01_A_027,1.737777887,3.519599625,6.116282399
DB_01_A_028,1.653201343,4.750034269,7.852763033
DB_01_A_029,0.775767642,84.23677393,65.34816348
DB_01_A_030,0.327847125,104.0318309,34.10653667
DB_01_A_031,0.248114827,94.7653836,23.51269676
DB_01_A_032,0.923318083,74.21683761,68.52574823
DB_01_A_033,0.31596337,103.9222913,32.83563738
DB_01_A_034,1.46775828,18.76343308,27.54018426
DB_01_A_035,1.017586838,100.0377017,101.7970486
DB_01_A_036,0.020267661,89.98407067,1.82376664
DB_01_A_037,0.135715691,104.8001834,14.22302931
DB_01_A_038,0.403452596,79.07803136,31.90423704
DB_01_A_039,0.861885507,94.49859811,81.44697214
DB_01_A_040,0.529794831,96.62303667,51.19038538
DB_01_A_041,1.686690097,53.86000502,90.84513709
DB_01_A_042,1.932762833,8.187346693,15.82419939
DB_01_A_043,0.157163002,77.76983608,12.2225409
DB_01_A_044,1.047246084,34.68612371,36.32490722
DB_01_A_045,2.033944713,45.85552362,93.26759983
DB_01_A_046,0.268340668,72.95197744,19.57598236
DB_01_A_047,0.521193957,85.59557001,44.61189384
DB_01_A_048,0.714874947,83.214775,59.48815787
DB_01_A_049,0.786094178,103.2096924,81.13253831
DB_01_A_050,0.111682503,90.66375027,10.12555456
DB_01_A_051,0.350531605,103.493134,36.27761437
DB_01_A_052,0.494938987,103.9517195,51.44975875
DB_01_A_053,0.286281115,102.6748264,29.39386378
DB_01_A_054,0.000392221,100.6894532,0.039492518
DB_01_A_055,0.335153118,85.05621025,28.50685407
DB_01_A_056,0.679443853,77.46810228,52.6352259
DB_01_A_057,0.459848499,72.18052684,33.19210692
DB_01_A_058,0.611244561,23.78038669,14.53563202
DB_01_A_059,0.356596049,103.2746599,36.82733568
DB_01_A_060,0.340176789,87.55370545,29.78373839
DB_01_A_061,1.029278672,52.88873556,54.4372475
DB_01_A_062,0.537800199,92.57305731,49.78580864
DB_01_A_063,1.746927153,89.77012306,156.8218655
DB_01_A_064,0.346879708,102.9738051,35.71952344
DB_01_A_065,0.396008068,96.96502149,38.39893082
DB_01_A_066,2.578086084,53.88805983,138.9280571
DB_01_A_067,0.238038672,104.270687,24.82045586
DB_01_A_068,0.903153397,64.55465151,58.3027528
DB_01_A_069,0.649143711,67.51067014,43.82412695
DB_01_A_070,0.322157705,103.4347632,33.32230593
DB_01_A_071,0.860624278,102.7411749,88.42154947
DB_01_A_072,0.000764291,74.65435252,0.05705765
DB_01_A_073,0.337041012,100.0270813,33.71322871
DB_01_A_074,0.588799155,98.18260529,57.80983503
DB_01_A_075,0.437498336,102.5852317,44.88086817
DB_01_A_076,0.020487464,108.4875035,2.222633822
DB_01_A_077,2.115537539,88.63766577,187.5163093
DB_01_A_078,0.126167328,102.69098,12.95624656
DB_01_A_079,4.06E-05,94.08302733,0.003819771
DB_01_A_080,1.130495628,67.86823035,76.72473769
DB_01_A_081,0.224007675,87.28296537,19.55205414
DB_01_A_082,0.343400539,93.65482878,32.16111868
DB_01_A_083,2.988333059,36.4769967,109.0054151
DB_01_A_084,0.047864109,85.89451279,4.111264323
DB_01_A_085,0.513333702,104.8091406,53.80206415
DB_01_A_086,0.256393011,105.8084906,27.12855749
DB_01_A_087,0.334593933,101.634838,34.00640018
DB_01_A_088,1.057631212,46.35953131,49.03128729
DB_01_A_089,0.307786764,103.8557565,31.96542722
DB_01_A_090,0.204743847,82.8697184,16.96706495
DB_01_A_091,0.108282242,92.66103007,10.03354408
DB_01_A_092,0.303810602,98.73884657,29.99790842
DB_01_A_093,0.346627864,101.8618813,35.30816634
DB_01_A_094,0.685655067,104.9017871,71.92644186
DB_01_A_095,0.230770441,103.1857099,23.81221178
DB_01_A_096,2.106888359,8.07428403,17.01161503
DB_01_A_097,1.585780043,38.86729799,61.63498548
DB_01_A_098,0.700300501,102.9108762,72.06853816
DB_01_A_099,0.360741801,105.5167182,38.06429096
DB_01_A_100,1.668534716,43.65954521,72.84746687
DB_02_A_001,4.049900942,14.34286973,58.08720163
DB_02_A_002,1.971288491,10.76775048,21.2263426
DB_02_A_003,1.455290882,17.26985401,25.13266107
DB_02_A_004,2.784771403,24.37772971,67.88640457
DB_02_A_005,3.059081567,33.25942501,101.743294
DB_02_A_006,2.572269553,10.31305066,26.52794621
DB_02_A_007,2.879886464,4.645926205,13.37973999
DB_02_A_008,2.030361895,3.429797104,6.963729348
DB_02_A_009,4.706986296,38.98400273,183.4971666
DB_02_A_010,2.229728834,7.392385428,16.48301494
DB_02_A_011,6.41939428,14.98087643,96.16815246
DB_02_A_012,3.081147583,1.391141818,4.28631325
DB_02_A_013,4.281037939,6.253558415,26.77172083
DB_02_A_014,3.079287973,7.437508941,22.90223183
DB_02_A_015,3.418547966,-1.092667336,-3.735335699
DB_02_A_016,2.030196029,10.83575033,21.99869729
DB_02_A_017,3.440253293,6.026114623,20.73136068
DB_02_A_018,4.555466072,18.46673525,84.12458589
DB_02_A_019,4.520594338,17.88728787,80.86117227
DB_02_A_020,3.256358226,8.49360258,27.65821263
DB_02_A_021,4.420030711,16.55879141,73.19036657
DB_02_A_022,3.070452908,7.940787814,24.38181504
DB_02_A_023,2.847317117,-6.838473734,-19.47130332
DB_02_A_024,1.868191607,12.27534383,22.93269432
DB_02_A_025,3.172328279,-0.764450709,-2.425088602
DB_02_A_026,4.873360734,4.112596519,20.04216639
DB_02_A_027,3.666953577,22.83558837,83.73704246
DB_02_A_028,3.324224527,14.76829377,49.09312437
DB_02_A_029,5.032519933,67.62699154,340.3341829
DB_02_A_030,2.600620741,7.92857071,20.61920543
DB_02_A_031,3.125666753,27.79400074,86.87478405
DB_02_A_032,4.225590753,8.415264268,35.55946287
DB_02_A_033,3.250171572,24.06361905,78.21089056
DB_02_A_034,3.124322225,1.490599383,4.657112781
DB_02_A_035,5.087794178,43.43739075,221.0005038
DB_02_A_036,1.400792582,27.60236837,38.66519286
DB_02_A_037,2.57117233,12.6046771,32.40879699
DB_02_A_038,3.083223135,-1.704169635,-5.254335245
DB_02_A_039,4.195954233,9.060852184,38.01892108
DB_02_A_040,4.206108338,6.958879681,29.26980185
DB_02_A_041,5.347356779,29.90292543,159.901611
DB_02_A_042,3.668907613,1.35611383,4.975456355
DB_02_A_043,2.511951197,2.592909338,6.513261715
DB_02_A_044,4.679540286,55.33894686,258.9608312
DB_02_A_045,6.745595532,8.26004486,55.7189217
DB_02_A_046,3.321348707,30.58372593,101.5792186
DB_02_A_047,4.310133554,65.73977213,283.3471977
DB_02_A_048,4.808237304,32.11262208,154.4051074
DB_02_A_049,4.628941045,21.4931537,99.49054135
DB_02_A_050,2.410871622,2.145531069,5.172599968
DB_02_A_051,3.044147942,22.43954363,68.30929056
