Smiles,DB_Name,A_Name,DB_Smiles,DB_ReagentMass,DB_0.1 mmol amount (mg),DB_HOMOm1(eV),DB_HOMO(eV),DB_LUMO(eV),DB_LUMOp1(eV),DB_PrimeExcite(eV),DB_PrimeExcite(osc_strength),DB_DipoleMoment(Debye),DB_SurfaceCharge,DB_ChargeCorrection,DB_FreeEnergy,DB_Asphericity,DB_Rg,DB_CorrectedMass,DB_ConjugatedBonds,DB_HBondAcceptors,DB_HBondDonors,DB_RotatableBonds,DB_LogP,DB_RingCount,A_Smiles,A_HOMOm1(eV),A_HOMO(eV),A_LUMO(eV),A_LUMOp1(eV),A_PrimeExcite(eV),A_PrimeExcite(osc_strength),A_DipoleMoment(Debye),A_SurfaceCharge,A_ChargeCorrection,A_FreeEnergy,A_CorrectedMass,A_Rg,A_ConjugatedBonds,A_HBondAcceptors,A_HBondDonors,A_Asphericity,A_LogP,A_RotatableBonds,A_VersionID,A_ParentID,A_CAS,A_ReagentMass,A_0.1 mmol amount (mg),A_location,DBA_Name,Mass,HAcceptors,HDonors,LogP,Asphericity,Rg,TPSA,RingCount,NumRotatableBonds,NumHeteroatoms
CC(C)COc1cc(N)c([N+](=O)[O-])cc1-c1cccs1,DB_01,A_001,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,CC(C)COc1cc(N)c([N+](=O)[O-])cc1Br,-9.1004,-8.5039,-0.3311,1.7293,7.02879814,0.431642447,6.53814,0.04783014,0.01406,0.13034,210.233,3.370173429,11,4,1,0.672552202,2.9743,4,45485452,45485452,1255574-43-6,289.129,28.9,B5,DB_01_A_001,292.36,5,1,3.9403,0.187527789,3.389628484,78.39,2,5,6
CCCCCCCCCCCCc1ccsc1-c1cccs1,DB_01,A_002,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,CCCCCCCCCCCCc1ccsc1Br,-9.0753,-8.7151,1.7179,3.3946,8.300188244,0.224965471,1.22302,-0.03471318,0.00301,0.14522,252.46,3.234489628,5,1,0,0.233549118,6.974,11,17282520,17282520,139100-06-4,331.363,33.1,B12,DB_01_A_002,334.594,2,0,7.94,0.367472374,4.141424852,0,2,12,2
CCCNC(=O)c1cc(F)ccc1-c1cccs1,DB_01,A_003,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,CCCNC(=O)c1cc(F)ccc1Br,-9.5964,-9.3018,0.7407,1.6463,7.454409082,0.923637863,6.41542,-0.02310211,-0.00212,0.12326,181.21,2.949880169,9,1,1,0.521177826,2.728,3,17266727,17266727,951884-10-9,260.106,26,B4,DB_01_A_003,263.337,2,1,3.694,0.167764306,3.140758395,29.1,2,4,4
Fc1cccc(-c2cccs2)c1,DB_01,A_004,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,Fc1cccc(I)c1,-9.6127,-9.2039,1.5725,1.9168,8.059208318,0.974882474,1.83329,-0.01656425,0.00123,0.09551,96.104,1.72521538,6,0,0,0.355775826,2.4303,0,489273,489273,1121-86-4,222,22.2,B2,DB_01_A_004,178.231,1,0,3.5542,0.553292406,2.731734805,0,2,1,2
CN(C)S(=O)(=O)n1cnc(-c2cccs2)c1,DB_01,A_005,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,CN(C)S(=O)(=O)n1cnc(I)c1,-9.9715,-9.265,1.9384,3.4858,9.042630076,0.197742046,6.20217,-0.01764259,-0.00263,0.11201,175.206,2.127325831,5,4,0,0.164275981,0.1422,2,728330,728330,135773-25-0,301.109,30.1,B11,DB_01_A_005,257.34,5,0,1.2661,0.572140883,3.290171412,55.2,2,3,7
O=[N+]([O-])c1ccc(Oc2ccccc2-c2cccs2)cc1,DB_01,A_006,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,O=[N+]([O-])c1ccc(Oc2ccccc2Br)cc1,-9.3998,-9.1378,-0.3997,1.1357,4.769560192,0.518822412,6.69149,-0.0218857,-0.00032,0.12824,215.208,3.349592078,17,3,0,0.656025177,4.1496,3,2359313,2359313,86607-76-3,294.104,29.4,B9,DB_01_A_006,297.335,4,0,5.1156,0.343077271,3.642354563,52.37,3,4,5
Cc1cc(N2CCN(C)CC2)ncc1-c1cccs1,DB_01,A_007,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,Cc1cc(N2CCN(C)CC2)ncc1Br,-8.1013,-7.6538,1.6165,2.2248,7.256450216,0.556806802,2.32614,-0.0302673,-0.00824,0.12843,191.278,2.987378037,7,3,0,0.597861047,1.90432,1,45488250,45488250,1219967-32-4,270.174,27,B5,DB_01_A_007,273.405,4,0,2.87032,0.722269279,3.898884699,19.37,3,2,4
COC(=O)c1cc(-c2cccs2)c(N)c([N+](=O)[O-])c1,DB_01,A_008,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,COC(=O)c1cc(Br)c(N)c([N+](=O)[O-])c1,-10.1397,-8.4317,-0.4172,0.7797,5.686913008,0.655055836,8.52873,-0.01783382,-0.0013,0.12021,196.162,2.875562659,13,5,1,0.500347877,1.7261,2,4850533,4850533,105655-17-2,275.058,27.5,B6,DB_01_A_008,278.289,6,1,2.6921,0.275188775,3.388691449,95.46,2,3,7
Cc1ccc(-c2cccs2)cc1Cc1ccc(-c2ccc(F)cc2)s1,DB_01,A_009,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,Cc1ccc(I)cc1Cc1ccc(-c2ccc(F)cc2)s1,-8.9426,-8.0359,0.7333,1.4147,4.956955962,0.830392884,1.9045,-0.02817621,0.0016,0.14968,282.376,4.114462141,18,1,0,0.737024178,6.05802,3,44390916,44390916,898566-17-1,408.279,40.8,B1,DB_01_A_009,364.51,2,0,7.18192,0.709462082,4.965317723,0,4,4,3
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1-c1cccs1,DB_01,A_010,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Br,-10.8009,-10.6448,-1.0071,-0.7933,5.840462238,0.56346402,4.79623,-0.0125897,0.00327,0.11888,212.117,2.870417364,15,5,1,0.250176598,1.9637,3,336486763,336486763,116529-60-3,291.013,29.1,B12,DB_01_A_010,294.244,6,1,2.9297,0.26517937,3.159376194,123.58,2,4,9
S=c1[nH]c(-c2ccc(-c3cccs3)cc2)cs1,DB_01,A_011,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,S=c1[nH]c(-c2ccc(Br)cc2)cs1,-8.8632,-8.2328,0.1977,0.7134,5.044089106,0.440726296,7.36851,0.12613019,0.02159,0.12141,193.282,2.899350157,13,2,1,0.582668583,4.23519,1,315897697,315897697,2103-95-9 or 1643696-35-8,272.192,27.2,B13,DB_01_A_011,275.423,3,1,5.20119,0.776093625,4.131986797,15.79,3,2,4
c1ccc(COc2cc(OCc3ccccc3)cc(-c3cccs3)c2)cc1,DB_01,A_012,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,Brc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,-8.7306,-8.4466,1.5228,1.6196,7.139983404,2.099698297,2.37911,-0.03418436,-0.00368,0.16017,290.362,4.731856399,20,2,0,0.673791713,5.6071,6,48622197,48622197,128924-04-9,369.258,36.9,B3,DB_01_A_012,372.489,3,0,6.5731,0.37877155,4.628900134,18.46,4,7,3
O=c1[nH]cnc2cc(-c3cccs3)ccc12,DB_01,A_013,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,O=c1[nH]cnc2cc(I)ccc12,-9.7054,-8.7634,0.6258,0.8346,6.595872378,0.593387249,2.22169,-0.01840387,-0.00056,0.10736,146.149,2.169628078,12,2,1,0.31213028,1.5277,0,43438785,43438785,202197-77-1,272.045,27.2,B2,DB_01_A_013,228.276,3,1,2.6516,0.643672371,3.283607297,45.75,3,1,4
COC(=O)c1ccc(OC)c(-c2cccs2)c1,DB_01,A_014,CC1(C)OB(c2cccs2)OC1(C)C,210.107,21,-9.3375,-9.0077,1.6575,3.7735,8.6271483,0.410146255,0.676,-0.01631574,0.0012,0.09112,0.316982163,1.597239764,84.143,5,1,0,1,0.0065,1,COC(=O)c1ccc(OC)c(I)c1,-9.851,-8.8946,0.6685,1.4087,7.442668176,0.963000349,1.90279,0.06947493,0.02489,0.11783,166.176,2.829925723,10,3,0,0.68979531,2.0864,2,518054,518054,35387-93-0,292.072,29.2,B10,DB_01_A_014,248.303,4,0,3.2103,0.315175124,3.231398406,35.53,2,3,4
